 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
167.220.234.235 - - [09/Aug/2016 03:39:29] "GET /sbapp/1.0/activities HTTP/1.1" 200 -
117.136.78.255 - - [10/Aug/2016 12:36:17] "GET /sbapp/1.0/activities HTTP/1.1" 200 -
117.136.78.255 - - [10/Aug/2016 12:36:17] "POST /sbapp/1.0/acts HTTP/1.1" 200 -
117.136.78.255 - - [10/Aug/2016 12:36:44] "POST /sbapp/1.0/join_activity HTTP/1.1" 200 -
117.136.78.255 - - [10/Aug/2016 12:36:50] "POST /sbapp/1.0/act_activity HTTP/1.1" 200 -
117.136.78.255 - - [10/Aug/2016 12:36:53] "POST /sbapp/1.0/act_activity HTTP/1.1" 200 -
117.136.78.255 - - [10/Aug/2016 12:36:56] "POST /sbapp/1.0/act_activity HTTP/1.1" 200 -
167.220.234.251 - - [12/Aug/2016 06:26:22] "GET /sbapp/1.0/activities HTTP/1.1" 200 -
167.220.234.251 - - [12/Aug/2016 06:26:22] "POST /sbapp/1.0/acts HTTP/1.1" 200 -
117.136.77.71 - - [14/Aug/2016 03:39:13] "POST /sbapp/1.0/acts HTTP/1.1" 200 -
117.136.77.71 - - [14/Aug/2016 03:39:13] "GET /sbapp/1.0/activities HTTP/1.1" 200 -
45.62.116.11 - - [14/Aug/2016 15:16:39] "GET /sbapp/1.0/activities HTTP/1.1" 200 -
45.62.116.11 - - [14/Aug/2016 15:17:29] "GET /sbapp/1.0/activities HTTP/1.1" 200 -
45.62.116.11 - - [14/Aug/2016 15:27:27] "GET /sbapp/1.0/activities HTTP/1.1" 200 -
45.62.116.11 - - [14/Aug/2016 15:28:03] "POST /sbapp/1.0/login HTTP/1.1" 200 -
45.62.116.11 - - [14/Aug/2016 15:28:20] "POST /sbapp/1.0/login HTTP/1.1" 200 -
